calm_vs_ener,cbd_pct,child_1,child_2,eff_pct,effects,feel_1,feel_1_pct,feel_2,feel_2_pct,feel_3,feel_3_pct,feel_4,feel_4_pct,feel_5,feel_5_pct,grow_all,help_1,help_1_pct,help_2,help_2_pct,help_3,help_3_pct,help_4,help_4_pct,help_5,help_5_pct,n_rate_rvws,n_reported_effects,neg_1,neg_1_pct,neg_2,neg_2_pct,neg_3,neg_3_pct,neg_4,neg_4_pct,neg_5,neg_5_pct,parent_1,parent_2,pop_loc,prim_type,rating,strain,terp_bar_pct,terp_descrip,terpenes,thc_pct
--position:55.710915963487416%,,Cherry Sauce,Alf,"59,%,59,%,51,%,44,%,30,%,36,%,28,%,24,%,23,%,14,%,27,%,15,%,6,%,4,%,4,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Creative, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Paranoid, ",Relaxed,59,Happy,59,Euphoric,51,Uplifted,44,Creative,30,"Moderate,30 - 78,3 - 6,7 - 9",Stress,36,Depression,28,Anxiety,24,Pain,23,Insomnia,14,1811,1209 people reported 8899 effects,Dry mouth,27,Dry eyes,15,Dizzy,6,Anxious,4,Paranoid,4,Durban Poison,Granddaddy Purple,"Seattle, WA,Portland, OR,Everett, WA,Oklahoma City, OK,Tulsa, OK,Bellingham, WA,Bremerton, WA,Eugene, OR,Spokane, WA,Mount Vernon, WA",Hybrid,4.3 ,Cherry Pie,"width:170%,width:114%,width:58%","Herbal,Peppery,Pine","Myrcene,Caryophyllene,Pinene",16
--position:68.57964174051956%,,Travel Joint,El Perro,"63,%,56,%,50,%,48,%,33,%,30,%,27,%,23,%,18,%,15,%,31,%,14,%,10,%,4,%,2,%","Happy, ,Relaxed, ,Euphoric, ,Uplifted, ,Focused, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Lack of appetite, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Paranoid, ",Happy,63,Relaxed,56,Euphoric,50,Uplifted,48,Focused,33,,Stress,30,Depression,27,Anxiety,23,Pain,18,Lack of appetite,15,541,386 people reported 2899 effects,Dry mouth,31,Dry eyes,14,Dizzy,10,Anxious,4,Paranoid,2,Tres Dawg,Chemdog 4,"Portland, OR,Silver Spring, MD,Denver, CO,Baltimore, MD,Rockville, MD,Oklahoma City, OK,Eugene, OR,Everett, WA,Seattle, WA,Bellingham, WA",Hybrid,4.4 ,Stardawg,"width:170%,width:114%,width:58%","Peppery,Herbal,Citrus","Caryophyllene,Myrcene,Limonene",20.5
--position:89.4667984518169%,,Lemon Ice,Lemon Cookies,"67,%,54,%,53,%,46,%,43,%,34,%,27,%,24,%,19,%,11,%,38,%,19,%,10,%,10,%,6,%","Happy, ,Uplifted, ,Euphoric, ,Energetic, ,Relaxed, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ",Happy,67,Uplifted,54,Euphoric,53,Energetic,46,Relaxed,43,"Moderate,30 - 78,1 - 3,10 - 12",Stress,34,Depression,27,Anxiety,24,Pain,19,Fatigue,11,2270,1582 people reported 12309 effects,Dry mouth,38,Dry eyes,19,Dizzy,10,Paranoid,10,Anxious,6,Silver Haze,Lemon Skunk,"Oklahoma City, OK,Tulsa, OK,Gardner, MA,Kingston, WA,Portland, OR,Danvers, MA,Denver, CO,Edmond, OK,Durango, CO,Phoenix, AZ",Sativa,4.2 ,Lemon Haze,"width:170%,width:114%,width:58%","Fruity,Peppery,Minty","Terpinolene,Caryophyllene,Ocimene",19
--position:88.41522216371668%,,Amnesia White,Monster Profit,"70,%,64,%,58,%,45,%,45,%,37,%,31,%,25,%,23,%,14,%,42,%,22,%,15,%,13,%,6,%","Happy, ,Euphoric, ,Uplifted, ,Energetic, ,Creative, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Dizzy, ,Anxious, ",Happy,70,Euphoric,64,Uplifted,58,Energetic,45,Creative,45,"Moderate,30 - 78,3 - 6,10 - 12",Stress,37,Depression,31,Anxiety,25,Pain,23,Fatigue,14,1389,1011 people reported 8816 effects,Dry mouth,42,Dry eyes,22,Paranoid,15,Dizzy,13,Anxious,6,South Asian Indica,Cambodian,"Portland, OR,Oklahoma City, OK,Eugene, OR,Kelso, WA,Longview, WA,Norman, OK,Seattle, WA,Tulsa, OK,Bartlesville, OK,Beaverton, OR",Sativa,4.2 ,Amnesia Haze,"width:170%,width:114%,width:58%","Herbal,Peppery,Citrus","Myrcene,Caryophyllene,Limonene",19.5
--position:97.69006331275179%,,DJ Andy Williams,Lemonder,"56,%,55,%,55,%,50,%,42,%,35,%,27,%,25,%,18,%,16,%,29,%,17,%,8,%,6,%,6,%","Happy, ,Uplifted, ,Energetic, ,Euphoric, ,Creative, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Dizzy, ,Anxious, ",Happy,56,Uplifted,55,Energetic,55,Euphoric,50,Creative,42,"Moderate,> 78,1 - 3,10 - 12",Stress,35,Depression,27,Anxiety,25,Pain,18,Fatigue,16,2020,1465 people reported 10581 effects,Dry mouth,29,Dry eyes,17,Paranoid,8,Dizzy,6,Anxious,6,Lemon Skunk,Super Silver Haze,"Seattle, WA,Silver Spring, MD,Everett, WA,Spokane, WA,Oklahoma City, OK,Los Angeles, CA,Vancouver, WA,Bellingham, WA,Renton, WA,Phoenix, AZ",Sativa,4.4 ,Super Lemon Haze,"width:170%,width:114%,width:58%","Fruity,Peppery,Minty","Terpinolene,Caryophyllene,Ocimene",18
--position:77.71674438899971%,,Hoodwreck,Wreckage,"58,%,52,%,47,%,40,%,35,%,38,%,29,%,27,%,25,%,14,%,32,%,21,%,11,%,10,%,5,%","Euphoric, ,Happy, ,Uplifted, ,Relaxed, ,Creative, ,Stress, ,Anxiety, ,Pain, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ",Euphoric,58,Happy,52,Uplifted,47,Relaxed,40,Creative,35,"Easy,> 78,3 - 6,7 - 9",Stress,38,Anxiety,29,Pain,27,Depression,25,Insomnia,14,2859,2023 people reported 15532 effects,Dry mouth,32,Dry eyes,21,Dizzy,11,Paranoid,10,Anxious,5,Mexican,Thai,"Portland, OR,Oklahoma City, OK,Seattle, WA,Los Angeles, CA,Las Vegas, NV,Detroit, MI,Phoenix, AZ,Renton, WA,Everett, WA,Spokane, WA",Hybrid,4.2 ,Trainwreck,"width:170%,width:114%,width:58%","Fruity,Herbal,Peppery","Terpinolene,Myrcene,Caryophyllene",17.5
--position:71.42655539982334%,,Dutch 47,Star 47,"59,%,47,%,46,%,45,%,36,%,40,%,29,%,27,%,25,%,17,%,41,%,24,%,10,%,9,%,6,%","Happy, ,Euphoric, ,Uplifted, ,Relaxed, ,Creative, ,Stress, ,Anxiety, ,Pain, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ",Happy,59,Euphoric,47,Uplifted,46,Relaxed,45,Creative,36,"Moderate,30 - 78,3 - 6,7 - 9",Stress,40,Anxiety,29,Pain,27,Depression,25,Insomnia,17,2759,1883 people reported 14826 effects,Dry mouth,41,Dry eyes,24,Dizzy,10,Paranoid,9,Headache,6,South American,Mexican,"Seattle, WA,Portland, OR,Oklahoma City, OK,Tulsa, OK,Everett, WA,Ferndale, WA,Kingston, WA,Spokane, WA,Everson, WA,Renton, WA",Hybrid,4 ,AK-47,"width:170%,width:114%,width:58%","Herbal,Peppery,Pine","Myrcene,Caryophyllene,Pinene",16.5
--position:64.64894913657105%,,Paris XXX,Chem Jack,"54,%,54,%,51,%,46,%,33,%,39,%,31,%,30,%,26,%,15,%,32,%,19,%,8,%,5,%,4,%","Happy, ,Euphoric, ,Relaxed, ,Uplifted, ,Creative, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ",Happy,54,Euphoric,54,Relaxed,51,Uplifted,46,Creative,33,"Moderate,> 78,3 - 6,7 - 9",Stress,39,Pain,31,Anxiety,30,Depression,26,Insomnia,15,2147,1488 people reported 11482 effects,Dry mouth,32,Dry eyes,19,Dizzy,8,Paranoid,5,Anxious,4,Nepalese,Thai,"Orlando, FL,Clearwater, FL,Miami, FL,Portland, OR,Bradenton, FL,Sarasota, FL,Bonita Springs, FL,Boynton Beach, FL,Dania Beach, FL,Deerfield Beach, FL",Hybrid,4.2 ,Chemdog,"width:170%,width:114%,width:58%","Peppery,Herbal,Citrus","Caryophyllene,Myrcene,Limonene",19
--position:11.510232592863707%,,,,"75,%,52,%,46,%,34,%,32,%,30,%,26,%,25,%,22,%,20,%,17,%,10,%,1,%,1,%,1,%","Relaxed, ,Happy, ,Euphoric, ,Sleepy, ,Uplifted, ,Stress, ,Anxiety, ,Pain, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Paranoid, ",Relaxed,75,Happy,52,Euphoric,46,Sleepy,34,Uplifted,32,,Stress,30,Anxiety,26,Pain,25,Depression,22,Insomnia,20,562,384 people reported 2650 effects,Dry mouth,17,Dry eyes,10,Dizzy,1,Headache,1,Paranoid,1,,,"Portland, OR,Los Angeles, CA,Denver, CO,Oklahoma City, OK,Tulsa, OK,San Francisco, CA,Phoenix, AZ,Eugene, OR,Seattle, WA,Shawnee, OK",Indica,4.7 ,Forbidden Fruit,"width:170%,width:114%,width:58%","Herbal,Peppery,Citrus","Myrcene,Caryophyllene,Limonene",16
--position:98.81757192333697%,,,,"58,%,57,%,51,%,46,%,42,%,31,%,27,%,23,%,18,%,16,%,22,%,13,%,6,%,6,%,5,%","Energetic, ,Uplifted, ,Happy, ,Euphoric, ,Creative, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Anxious, ,Paranoid, ,Dizzy, ",Energetic,58,Uplifted,57,Happy,51,Euphoric,46,Creative,42,"Easy,> 78,1 - 3,7 - 9",Stress,31,Depression,27,Anxiety,23,Pain,18,Fatigue,16,3084,2150 people reported 14825 effects,Dry mouth,22,Dry eyes,13,Anxious,6,Paranoid,6,Dizzy,5,,,"Portland, OR,Denver, CO,Oklahoma City, OK,Seattle, WA,Silver Spring, MD,Las Vegas, NV,Phoenix, AZ,Everett, WA,Spokane, WA,Eugene, OR",Sativa,4.4 ,Durban Poison,"width:170%,width:114%,width:58%","Fruity,Herbal,Minty","Terpinolene,Myrcene,Ocimene",17.5
