calm_vs_ener,cbd_pct,child_1,child_2,eff_pct,effects,grow_all,n_rate_rvws,n_reported_effects,parent_1,parent_2,pop_loc,prim_type,rating,strain,terp_bar_pct,terp_descrip,terpenes,thc_pct
--position:55.710915963487416%,,Cherry Sauce,Alf,"59,%,59,%,51,%,44,%,30,%,36,%,28,%,24,%,23,%,14,%,27,%,15,%,6,%,4,%,4,%","Relaxed, ,Happy, ,Euphoric, ,Uplifted, ,Creative, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Paranoid, ","Moderate,30 - 78,3 - 6,7 - 9",1811,1209 people reported 8899 effects,Durban Poison,Granddaddy Purple,"Seattle, WA,Portland, OR,Everett, WA,Oklahoma City, OK,Tulsa, OK,Kingston, WA,Everson, WA,Salem, OR,Bellingham, WA,Eugene, OR",Hybrid,4.3 ,Cherry Pie,"width:170%,width:114%,width:58%","Herbal,Peppery,Pine","Myrcene,Caryophyllene,Pinene",16
--position:68.57964174051956%,,Travel Joint,El Perro,"63,%,56,%,50,%,48,%,33,%,30,%,27,%,23,%,18,%,15,%,31,%,14,%,10,%,4,%,2,%","Happy, ,Relaxed, ,Euphoric, ,Uplifted, ,Focused, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Lack of appetite, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Anxious, ,Paranoid, ",,541,386 people reported 2899 effects,Tres Dawg,Chemdog 4,"Silver Spring, MD,Portland, OR,Everett, WA,Denver, CO,Baltimore, MD,Rockville, MD,Eugene, OR,Oklahoma City, OK,Seattle, WA,Bellingham, WA",Hybrid,4.4 ,Stardawg,"width:170%,width:114%,width:58%","Peppery,Herbal,Citrus","Caryophyllene,Myrcene,Limonene",20.5
--position:89.4667984518169%,,Lemon Ice,Lemon Cookies,"67,%,54,%,53,%,46,%,43,%,34,%,27,%,24,%,19,%,11,%,38,%,19,%,10,%,10,%,6,%","Happy, ,Uplifted, ,Euphoric, ,Energetic, ,Relaxed, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ","Moderate,30 - 78,1 - 3,10 - 12",2271,1582 people reported 12309 effects,Silver Haze,Lemon Skunk,"Oklahoma City, OK,Kingston, WA,Gardner, MA,Tulsa, OK,Portland, OR,Denver, CO,Danvers, MA,Edmond, OK,Durango, CO,Emeryville, CA",Sativa,4.2 ,Lemon Haze,"width:170%,width:114%,width:58%","Fruity,Peppery,Minty","Terpinolene,Caryophyllene,Ocimene",19
--position:88.41522216371668%,,Amnesia White,Monster Profit,"70,%,64,%,58,%,45,%,45,%,37,%,31,%,25,%,23,%,14,%,42,%,22,%,15,%,13,%,6,%","Happy, ,Euphoric, ,Uplifted, ,Energetic, ,Creative, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Dizzy, ,Anxious, ","Moderate,30 - 78,3 - 6,10 - 12",1389,1011 people reported 8816 effects,South Asian Indica,Cambodian,"Portland, OR,Oklahoma City, OK,Eugene, OR,Corvallis, OR,Astoria, OR,Kelso, WA,Longview, WA,Norman, OK,Salem, OR,Seattle, WA",Sativa,4.2 ,Amnesia Haze,"width:170%,width:114%,width:58%","Herbal,Peppery,Citrus","Myrcene,Caryophyllene,Limonene",19.5
--position:97.69006331275179%,,DJ Andy Williams,Lemonder,"56,%,55,%,55,%,50,%,42,%,35,%,27,%,25,%,18,%,16,%,29,%,17,%,8,%,6,%,6,%","Happy, ,Uplifted, ,Energetic, ,Euphoric, ,Creative, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Paranoid, ,Dizzy, ,Anxious, ","Moderate,> 78,1 - 3,10 - 12",2021,1465 people reported 10581 effects,Lemon Skunk,Super Silver Haze,"Silver Spring, MD,Seattle, WA,Everett, WA,Spokane, WA,Oklahoma City, OK,Vancouver, WA,Los Angeles, CA,Bellingham, WA,Renton, WA,Phoenix, AZ",Sativa,4.4 ,Super Lemon Haze,"width:170%,width:114%,width:58%","Fruity,Peppery,Minty","Terpinolene,Caryophyllene,Ocimene",18
--position:77.71674438899971%,,Hoodwreck,Wreckage,"58,%,52,%,47,%,40,%,35,%,38,%,29,%,27,%,25,%,14,%,32,%,21,%,11,%,10,%,5,%","Euphoric, ,Happy, ,Uplifted, ,Relaxed, ,Creative, ,Stress, ,Anxiety, ,Pain, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ","Easy,> 78,3 - 6,7 - 9",2859,2023 people reported 15532 effects,Mexican,Thai,"Portland, OR,Oklahoma City, OK,Seattle, WA,Los Angeles, CA,Las Vegas, NV,Detroit, MI,Phoenix, AZ,Renton, WA,Spokane, WA,Eugene, OR",Hybrid,4.2 ,Trainwreck,"width:170%,width:114%,width:58%","Fruity,Herbal,Peppery","Terpinolene,Myrcene,Caryophyllene",17.5
--position:71.42655539982334%,,Dutch 47,Star 47,"59,%,47,%,46,%,45,%,36,%,40,%,29,%,27,%,25,%,17,%,41,%,24,%,10,%,9,%,6,%","Happy, ,Euphoric, ,Uplifted, ,Relaxed, ,Creative, ,Stress, ,Anxiety, ,Pain, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Headache, ","Moderate,30 - 78,3 - 6,7 - 9",2758,1883 people reported 14826 effects,South American,Mexican,"Seattle, WA,Portland, OR,Kingston, WA,Oklahoma City, OK,Tulsa, OK,Ferndale, WA,Everson, WA,Everett, WA,Spokane, WA,Renton, WA",Hybrid,4 ,AK-47,"width:170%,width:114%,width:58%","Herbal,Peppery,Pine","Myrcene,Caryophyllene,Pinene",16.5
--position:64.64894913657105%,,Paris XXX,Chem Jack,"54,%,54,%,51,%,46,%,33,%,39,%,31,%,30,%,26,%,15,%,32,%,19,%,8,%,5,%,4,%","Happy, ,Euphoric, ,Relaxed, ,Uplifted, ,Creative, ,Stress, ,Pain, ,Anxiety, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Paranoid, ,Anxious, ","Moderate,> 78,3 - 6,7 - 9",2147,1488 people reported 11482 effects,Nepalese,Thai,"Orlando, FL,Clearwater, FL,Miami, FL,Portland, OR,Bradenton, FL,King City, OR,Oak Grove, OR,Sarasota, FL,Bonita Springs, FL,Boynton Beach, FL",Hybrid,4.2 ,Chemdog,"width:170%,width:114%,width:58%","Peppery,Herbal,Citrus","Caryophyllene,Myrcene,Limonene",19
--position:11.510232592863707%,,,,"75,%,52,%,46,%,34,%,32,%,30,%,26,%,25,%,22,%,20,%,17,%,10,%,1,%,1,%,1,%","Relaxed, ,Happy, ,Euphoric, ,Sleepy, ,Uplifted, ,Stress, ,Anxiety, ,Pain, ,Depression, ,Insomnia, ,Dry mouth, ,Dry eyes, ,Dizzy, ,Headache, ,Paranoid, ",,562,384 people reported 2650 effects,,,"Portland, OR,Los Angeles, CA,Denver, CO,Oklahoma City, OK,Tulsa, OK,Phoenix, AZ,San Francisco, CA,Eugene, OR,Shawnee, OK,Seattle, WA",Indica,4.7 ,Forbidden Fruit,"width:170%,width:114%,width:58%","Herbal,Peppery,Citrus","Myrcene,Caryophyllene,Limonene",16
--position:98.81757192333697%,,,,"58,%,57,%,51,%,46,%,42,%,31,%,27,%,23,%,18,%,16,%,22,%,13,%,6,%,6,%,5,%","Energetic, ,Uplifted, ,Happy, ,Euphoric, ,Creative, ,Stress, ,Depression, ,Anxiety, ,Pain, ,Fatigue, ,Dry mouth, ,Dry eyes, ,Anxious, ,Paranoid, ,Dizzy, ","Easy,> 78,1 - 3,7 - 9",3084,2151 people reported 14825 effects,,,"Silver Spring, MD,Portland, OR,Denver, CO,Oklahoma City, OK,Everett, WA,Seattle, WA,Las Vegas, NV,Phoenix, AZ,Spokane, WA,Eugene, OR",Sativa,4.4 ,Durban Poison,"width:170%,width:114%,width:58%","Fruity,Herbal,Minty","Terpinolene,Myrcene,Ocimene",17.5
